Indicador;Sexo, grupo de edad y nivel de estudios;periodo;Total
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2014;29,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2013;27,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2012;31,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2011;27,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2025;26,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2024;28,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2023;27,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2022;23,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2021;19,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2020;20,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2019;17,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2018;16,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2017;14,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2016;18,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2015;14,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2014;15,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2013;11,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2012;12,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 55 años en adelante;2011;10,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2025;47,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2024;48,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2023;41,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2022;40,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2021;36,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2020;34,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2019;43,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2018;45,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2017;39,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2016;44,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2015;37,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2014;43,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2013;40,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2012;42,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Primera etapa de educacion secundaria e inferior;2011;41,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2025;84,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2024;75,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2023;82,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2022;73,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2021;64,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2020;57,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2019;58,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2018;58,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2017;55,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2016;52,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2015;55,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2014;50,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2013;46,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2012;48,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Total;2011;47,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2025;59,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2024;52,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2023;57,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2022;48,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2021;46,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2020;39,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2019;40,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2018;40,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2017;44,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2016;40,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2015;37,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2014;33,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2013;31,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2012;33,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación general;2011;35,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2025;24,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2024;23,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2023;24,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2022;25,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2021;18,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2020;18,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2019;18,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2018;18,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2017;11,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2016;12,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2015;17,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2014;16,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2013;14,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2012;15,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Segunda etapa de educación secundaria: Orientación profesional;2011;11,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2025;138,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2024;131,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2023;123,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2022;120,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2021;121,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2020;108,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2019;117,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2018;110,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2017;107,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2016;96,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2015;92,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2014;95,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2013;77,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2012;69,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Educación superior o equivalente;2011;61,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2025;1,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2024;1,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2023;1,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2022;1,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2021;1,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2020;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2019;1,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2018;1,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2017;1,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2016;1,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2015;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2014;1,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2013;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2012;0,9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;TOTAL;2011;0,8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2025;1,4
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2024;1,3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2023;1,3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2022;1,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2021;1,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2020;1,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2019;1,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2018;1,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2017;1,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2016;1,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2015;1,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2014;1,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2013;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2012;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Hombres;2011;0,9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2025;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2024;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2023;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2022;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2021;1,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2020;0,9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2019;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2018;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2017;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2016;0,9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2015;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2014;1,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2013;0,9
