indicador,situacion_jornada,sexo,periodo,valor
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2011,69.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2025,96.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2024,87.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2023,84.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2022,68.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2021,64.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2020,61.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2019,58.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2018,57.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Hombres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2025,58.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2024,60.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2023,50.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2022,50.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2021,55.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2020,45.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2019,44.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2018,46.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Mujeres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2025,77.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2024,70.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2023,75.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2022,73.7
