indicador,situacion_jornada,periodo,valor
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2018-2T,19.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2018-1T,19.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2017-4T,18.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2017-3T,26.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2017-2T,23.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2017-1T,23.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2016-4T,25.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2016-3T,19.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2016-2T,21.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2016-1T,18.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2015-4T,21.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2015-3T,19.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2015-2T,19.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2015-1T,16.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2014-4T,22.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2014-3T,20.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2014-2T,19.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2014-1T,19.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2013-4T,22.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2013-3T,19.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2013-2T,23.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2013-1T,23.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2012-4T,23.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2012-3T,20.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2012-2T,20.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2012-1T,16.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2011-4T,15.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2011-3T,17.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2011-2T,18.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2011-1T,15.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2025-4T,250.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2025-3T,248.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2025-2T,214.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2025-1T,216.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2024-4T,217.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2024-3T,216.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2024-2T,227.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2024-1T,215.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2023-4T,204.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2023-3T,210.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2023-2T,218.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2023-1T,206.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2022-4T,207.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2022-3T,193.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2022-2T,178.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2022-1T,189.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2021-4T,184.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2021-3T,215.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2021-2T,190.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2021-1T,163.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2020-4T,174.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2020-3T,161.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2020-2T,150.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2020-1T,190.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2019-4T,199.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2019-3T,193.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2019-2T,186.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2019-1T,197.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2018-4T,198.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2018-3T,194.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2018-2T,185.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2018-1T,192.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2017-4T,186.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2017-3T,187.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2017-2T,177.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2017-1T,170.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2016-4T,161.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2016-3T,175.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2016-2T,178.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2016-1T,174.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2015-4T,159.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2015-3T,163.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2015-2T,168.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2015-1T,170.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2014-4T,168.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2014-3T,166.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2014-2T,171.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2014-1T,170.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2013-4T,142.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2013-3T,137.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2013-2T,146.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2013-1T,143.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2012-4T,131.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2012-3T,143.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2012-2T,148.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2012-1T,139.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2011-4T,127.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2011-3T,138.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2011-2T,136.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,2011-1T,131.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2025-4T,179.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2025-3T,150.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2025-2T,144.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2025-1T,145.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2024-4T,150.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2024-3T,140.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2024-2T,154.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2024-1T,149.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2023-4T,135.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2023-3T,133.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2023-2T,140.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2023-1T,131.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2022-4T,133.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2022-3T,111.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2022-2T,114.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2022-1T,114.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2021-4T,115.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2021-3T,127.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2021-2T,121.4
